所属板块,板块涨跌幅,主力净流入,主力净流入占比,资金排名,板块资金标签,隔夜建议,板块股票数,板块上涨数,板块平均涨跌幅,龙头涨幅,板块广度,板块近5日平均涨幅,板块近5日样本数,板块近5日排名,板块当日资金排名,板块数据状态,生成时间,板块轮动状态,板块操作建议,DS盘面判断,DS操作指引,DS风险提示,DS固定持仓提示,DS状态
电网设备,2.23,423880832.0,2.87,1,资金流入,优先观察,47,10,-1.05,20.01,21.28,-0.96,47,65,1,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
游戏Ⅱ,1.84,253284528.0,4.35,3,资金流入,优先观察,24,4,-1.07,8.74,16.67,-4.04,24,165,3,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
计算机设备,0.82,201685136.0,1.93,5,资金流入,优先观察,22,2,-5.48,0.86,9.09,-4.55,22,179,5,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
IT服务Ⅲ,0.7,191147280.0,1.0,7,资金流入,优先观察,110,17,-2.72,12.0,15.45,-2.41,110,115,7,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
横向通用软件,1.03,189621248.0,1.67,8,资金流入,优先观察,32,9,-1.67,5.22,28.12,0.69,32,41,8,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
风电设备,2.86,155902127.0,5.29,10,资金流入,优先观察,30,4,-1.62,8.65,13.33,-0.98,30,66,10,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
其他计算机设备,0.62,140374032.0,1.88,15,资金流入,优先观察,59,6,-2.67,2.83,10.17,-3.75,59,159,15,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
被动元件,-1.04,131051792.0,1.38,16,资金流入,资金流入但价格弱，谨慎,14,10,4.26,20.02,71.43,12.96,14,1,16,强,2026-09-07 09:26:20,低位轮动,只等回踩确认,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
食品饮料,0.31,123532848.0,1.17,20,资金流入,优先观察,59,26,-0.31,7.84,44.07,-1.87,59,95,20,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
自动化设备,1.06,118287872.0,0.94,21,资金流入,优先观察,79,18,-2.03,9.28,22.78,0.88,79,38,21,未知,2026-09-07 09:26:20,观察,观察,电网、游戏、软件等板块获主力流入，但轮动状态多为观察，持续性待确认；被动元件低位轮动，资金流入…,关注电网设备、风电设备等资金流入且涨幅居前板块，可轻仓试探；被动元件等回踩确认后再介入，避免追…,数字芯片、半导体等板块资金大幅流出，跌幅风险高，坚决回避；市场整体轮动快，谨防冲高回落。,大为股份、融捷股份、捷捷微电所属板块资金流出，建议降权或减仓，等待企稳信号。,success
