factor_name,category,description,direction,current_status,used_in_version
最新收盘价,日线因子,用于控制股票价格区间，适配3W小资金试盘,价格在30-50元之间更适合当前资金规模,已使用,v1.0
MA5,日线因子,用于判断短线趋势承接位置,收盘价高于MA5且偏离不过大更优,已使用,v1.0
距MA5偏离率,日线因子,判断是否追高，控制买入位置,偏离率越小，越适合低吸；偏离过大扣分,已使用,v1.3
最近5日涨幅,日线因子,判断短线是否过热,涨幅适中较优，涨幅过高扣分或放弃,已使用,v1.0
最近5日振幅,日线因子,判断是否具备隔日T空间,振幅过低没有T空间，振幅过高风险偏大,已使用,v1.0
最近5日平均成交额,日线因子,判断流动性，避免小成交额股票,成交额越充足越好，但超大市值慢趋势票需后续降权,已使用,v1.0
热点标签,日线因子,判断题材方向，辅助识别主线板块,热点标签明确优于未归类,半可用,v1.1
所属市场,日线因子,区分主板、创业板、科创板，排除北交所,当前优先主板、创业板、科创板，排除北交所,已使用,v1.0
今日开盘,分时因子,判断高开、低开和平开结构,低开修复优于低开阴跌，高开不追,已使用,v1.5
上午最高,分时因子,用于判断上午是否有冲高动作,下午突破上午高点是转强信号,已使用,v1.5
上午最低,分时因子,用于判断早盘是否急跌以及是否修复,急跌后能修复并不再破低更优,已使用,v1.5
午盘价,分时因子,判断上午结束时结构强弱,午盘价远离高点说明冲高回落，需要尾盘再确认,已使用,v1.5
今日最高,分时因子,用于计算收盘位置和是否尾盘创新高,收盘接近今日最高更优,已使用,v1.5
今日最低,分时因子,用于计算从低点修复幅度,从低点修复幅度越强越好,已使用,v1.5
收盘位置,分时因子,判断收盘位于全天振幅区间的位置,收盘位置越高，尾盘资金越强,已使用,v1.5
从低点修复幅度,分时因子,判断下跌后是否有资金修复,修复幅度越大越好，但需结合收盘位置,已使用,v1.5
从高点回落幅度,分时因子,判断是否冲高回落,回落幅度过大说明追高资金被套,已使用,v1.5
是否突破上午高点,分时因子,判断下午是否重新转强,突破上午高点是尾盘转强信号,已使用,v1.5
分时结构标签,分时因子,将分时走势归类为修复、阴跌、冲高回落再转强等,冲高回落再转强、强势横盘优于全天阴跌,已使用,v1.5
隔夜建议等级,分时因子,基于尾盘确认生成A/B/C/D等级,A/B可进入交易池，C观察，D放弃,已使用,v1.5
风险等级,风控因子,综合涨幅、振幅、MA5偏离率判断风险,低风险优于中风险，高风险不进交易池,已使用,v1.3
单票仓位,风控因子,控制单票3000-5000元,避免单票过重，适合3W试盘,已使用,v1.2
最大交易数量,风控因子,每日最多实际操作2只,限制交易频率，避免临盘乱买,已使用,v1.2
止损价,风控因子,根据MA5和振幅动态计算止损,跌破计划止损价先退出，不补仓,已使用,v1.3
总市值,未来聚宽因子,过滤过大慢趋势票，例如超大市值机构票,当前策略更偏中等市值高活跃股票,待加入,planned_v1.7
换手率,未来聚宽因子,判断活跃度和筹码交换,适中换手优于过低或极端换手,待加入,planned_v1.7
量比,未来聚宽因子,判断当日资金异动程度,适度放量优于无量或爆量,待加入,planned_v1.7
行业强度,未来聚宽因子,判断板块共振和主线延续,板块强于大盘时加分,待加入,planned_v1.8
资金流,未来聚宽因子,判断主力净流入和资金方向,主力资金流入优于流出,待加入,planned_v1.8
波动率,未来聚宽因子,区分是否具备稳定T空间,适中波动率优于低波动和极端波动,待加入,planned_v1.8
连续上涨天数,未来聚宽因子,防止接过热票,连续上涨过多天需要扣分,待加入,planned_v1.8
